3.08E-05,8.00E-05,1.62E-04,2.49E-04,3.30E-04,3.99E-04,4.54E-04,5.00E-04,5.39E-04,5.43E-04,5.25E-04,4.21E-04,3.43E-04,3.87E-04,9.15E-04,1.39E-03,7.38E-04,1.92E-04,1.42E-04,1.60E-04,1.82E-04,1.32E-04,8.43E-05,5.65E-05,1.53E-05
2.18E-05,5.86E-05,1.22E-04,1.95E-04,2.67E-04,3.25E-04,3.72E-04,4.17E-04,4.47E-04,4.68E-04,4.60E-04,4.37E-04,3.40E-04,2.70E-04,2.85E-04,7.38E-04,1.18E-03,5.94E-04,1.20E-04,1.16E-04,1.30E-04,1.37E-04,9.93E-05,5.19E-05,1.59E-05
2.14E-05,5.40E-05,1.03E-04,1.63E-04,2.24E-04,2.70E-04,3.08E-04,3.46E-04,3.78E-04,3.83E-04,3.91E-04,3.77E-04,3.57E-04,2.75E-04,2.01E-04,1.92E-04,5.94E-04,9.86E-04,4.53E-04,7.24E-05,8.57E-05,8.17E-05,1.02E-04,7.57E-05,1.20E-05
2.53E-05,5.58E-05,9.76E-05,1.47E-04,1.95E-04,2.32E-04,2.61E-04,2.92E-04,3.11E-04,3.19E-04,3.09E-04,3.08E-04,2.95E-04,2.80E-04,2.00E-04,1.42E-04,1.20E-04,4.53E-04,7.99E-04,3.34E-04,1.74E-05,3.32E-05,5.35E-05,8.29E-05,9.68E-06
2.04E-05,4.06E-05,7.35E-05,1.09E-04,1.47E-04,1.77E-04,2.05E-04,2.32E-04,2.56E-04,2.60E-04,2.62E-04,2.48E-04,2.46E-04,2.43E-04,2.33E-04,1.60E-04,1.16E-04,7.24E-05,3.34E-04,6.58E-04,2.51E-04,-7.98E-06,3.77E-05,1.16E-05,1.54E-05
1.07E-05,1.85E-05,3.91E-05,6.42E-05,8.96E-05,1.17E-04,1.44E-04,1.73E-04,1.94E-04,2.11E-04,2.13E-04,2.12E-04,1.98E-04,1.97E-04,1.88E-04,1.82E-04,1.30E-04,8.57E-05,1.74E-05,2.51E-04,5.74E-04,2.15E-04,-5.90E-05,-1.53E-07,1.57E-05
5.61E-06,5.45E-06,1.71E-05,3.14E-05,4.79E-05,6.76E-05,8.98E-05,1.12E-04,1.33E-04,1.43E-04,1.57E-04,1.50E-04,1.46E-04,1.37E-04,1.35E-04,1.32E-04,1.37E-04,8.17E-05,3.32E-05,-7.98E-06,2.15E-04,4.15E-04,1.01E-04,-4.87E-05,1.40E-05
4.63E-06,2.35E-06,1.10E-05,2.08E-05,3.14E-05,4.76E-05,6.50E-05,8.31E-05,9.56E-05,1.10E-04,1.15E-04,1.19E-04,1.08E-04,1.06E-04,8.83E-05,8.43E-05,9.93E-05,1.02E-04,5.35E-05,3.77E-05,-5.90E-05,1.01E-04,3.37E-04,8.92E-05,-8.70E-06
3.94E-06,4.60E-06,1.20E-05,1.90E-05,2.74E-05,3.88E-05,5.04E-05,6.30E-05,7.36E-05,7.86E-05,8.54E-05,8.41E-05,8.40E-05,7.92E-05,6.98E-05,5.65E-05,5.19E-05,7.57E-05,8.29E-05,1.16E-05,-1.53E-07,-4.87E-05,8.92E-05,3.35E-04,-3.59E-05
1.72E-07,-1.19E-06,-1.95E-06,-5.56E-08,2.36E-06,3.45E-06,4.84E-06,7.26E-06,1.01E-05,1.19E-05,1.31E-05,1.22E-05,1.22E-05,1.32E-05,1.54E-05,1.53E-05,1.59E-05,1.20E-05,9.68E-06,1.54E-05,1.57E-05,1.40E-05,-8.70E-06,-3.59E-05,2.07E-05
