#: table_doi: 10.17182/hepdata.132368.v2/t7
#: name: Spectrum analysis: Covariance of the undolded spectrum
#: description: Covariance matrix of the unfolded U-235 spectrum, given as a 20x20 matrix with 20 antineutrino energy bins (bins 1-19 are 250 keV wide, with centers ranging from 2.5 MeV to 7 MeV and bin 20 is 750 keV wide with center at 7.5 MeV).
#: data_file: Spec_UnfoldedCovariance.yaml
#: keyword phrases: Unfolded covariance
$E_\nu$ [MeV],$E_ u$ [MeV],spectrum covariance [(cm2/fission/MeV)²]
4.75,6,5.16806e-90
4.75,6.25,3.47095e-90
4.75,6.5,3.02235e-90
4.75,6.75,2.80204e-90
4.75,7,2.36575e-90
4.75,7.5,1.28007e-90
5,2.5,6.67957e-90
5,2.75,7.96627e-90
5,3,8.46551e-90
5,3.25,9.16279e-90
5,3.5,9.31581e-90
5,3.75,7.3923e-90
5,4,1.00544e-89
5,4.25,1.10681e-89
5,4.5,-1.71484e-90
5,4.75,7.54746e-90
5,5,2.26252e-89
5,5.25,8.0771e-90
5,5.5,-1.36766e-90
5,5.75,2.62612e-90
5,6,5.53661e-90
5,6.25,4.644e-90
5,6.5,3.19002e-90
5,6.75,2.5284e-90
5,7,2.19688e-90
5,7.5,1.25893e-90
5.25,2.5,6.17423e-90
5.25,2.75,7.39383e-90
5.25,3,7.79648e-90
5.25,3.25,8.07724e-90
5.25,3.5,8.51566e-90
5.25,3.75,7.66802e-90
5.25,4,6.20026e-90
5.25,4.25,9.75588e-90
5.25,4.5,7.98886e-90
5.25,4.75,-2.13013e-90
5.25,5,8.0771e-90
5.25,5.25,1.96114e-89
5.25,5.5,8.79008e-90
5.25,5.75,-3.02871e-91
5.25,6,1.32099e-90
5.25,6.25,4.04661e-90
5.25,6.5,4.01939e-90
5.25,6.75,2.95991e-90
5.25,7,2.14516e-90
5.25,7.5,1.12484e-90
5.5,2.5,5.59282e-90
5.5,2.75,6.69176e-90
5.5,3,7.01192e-90
5.5,3.25,7.20272e-90
5.5,3.5,7.27613e-90
5.5,3.75,7.07673e-90
5.5,4,6.00121e-90
5.5,4.25,5.78688e-90
5.5,4.5,8.81458e-90
5.5,4.75,4.7389e-90
5.5,5,-1.36766e-90
5.5,5.25,8.79008e-90
5.5,5.5,1.64785e-89
5.5,5.75,8.09154e-90
5.5,6,4.29413e-91
5.5,6.25,7.10497e-91
5.5,6.5,2.87366e-90
5.5,6.75,3.22989e-90
5.5,7,2.45039e-90
5.5,7.5,1.16519e-90
5.75,2.5,4.93703e-90
5.75,2.75,5.87822e-90
5.75,3,6.14095e-90
5.75,3.25,6.34138e-90
5.75,3.5,6.29667e-90
5.75,3.75,5.90618e-90
5.75,4,5.79026e-90
5.75,4.25,4.82395e-90
5.75,4.5,5.49554e-90
5.75,4.75,7.24258e-90
5.75,5,2.62612e-90
5.75,5.25,-3.02871e-91
5.75,5.5,8.09154e-90
5.75,5.75,1.31924e-89
5.75,6,6.94671e-90
5.75,6.25,9.11305e-91
5.75,6.5,5.31463e-91
5.75,6.75,1.96657e-90
5.75,7,2.40163e-90
5.75,7.5,1.4119e-90
6,2.5,4.2494e-90
6,2.75,5.07155e-90
6,3,5.30663e-90
6,3.25,5.48593e-90
6,3.5,5.4718e-90
6,3.75,4.93251e-90
6,4,4.89285e-90
6,4.25,4.7319e-90
6,4.5,4.0016e-90
6,4.75,5.16806e-90
6,5,5.53661e-90
6,5.25,1.32099e-90
6,5.5,4.29413e-91
6,5.75,6.94671e-90
6,6,1.02676e-89
6,6.25,5.86038e-90
6,6.5,1.31221e-90
6,6.75,6.09414e-91
6,7,1.46106e-90
6,7.5,1.25832e-90
6.25,2.5,3.62925e-90
6.25,2.75,4.35439e-90
6.25,3,4.54692e-90
6.25,3.25,4.7122e-90
6.25,3.5,4.70953e-90
6.25,3.75,4.16005e-90
6.25,4,3.96076e-90
6.25,4.25,4.20213e-90
6.25,4.5,3.80859e-90
6.25,4.75,3.47095e-90
6.25,5,4.644e-90
6.25,5.25,4.04661e-90
6.25,5.5,7.10497e-91
6.25,5.75,9.11305e-91
6.25,6,5.86038e-90
6.25,6.25,8.00205e-90
6.25,6.5,4.95657e-90
6.25,6.75,1.73972e-90
6.25,7,7.62977e-91
6.25,7.5,5.19391e-91
6.5,2.5,3.1126e-90
6.5,2.75,3.74993e-90
6.5,3,3.89522e-90
6.5,3.25,4.03058e-90
6.5,3.5,4.00658e-90
6.5,3.75,3.45187e-90
6.5,4,3.23731e-90
6.5,4.25,3.44186e-90
6.5,4.5,3.53407e-90
6.5,4.75,3.02235e-90
6.5,5,3.19002e-90
6.5,5.25,4.01939e-90
6.5,5.5,2.87366e-90
6.5,5.75,5.31463e-91
6.5,6,1.31221e-90
6.5,6.25,4.95657e-90
6.5,6.5,6.4025e-90
6.5,6.75,4.21394e-90
6.5,7,1.51311e-90
6.5,7.5,1.33186e-91
6.75,2.5,2.66381e-90
6.75,2.75,3.20453e-90
6.75,3,3.30493e-90
6.75,3.25,3.39817e-90
6.75,3.5,3.34341e-90
6.75,3.75,2.786e-90
6.75,4,2.60518e-90
6.75,4.25,2.77136e-90
6.75,4.5,2.97977e-90
6.75,4.75,2.80204e-90
6.75,5,2.5284e-90
6.75,5.25,2.95991e-90
6.75,5.5,3.22989e-90
6.75,5.75,1.96657e-90
6.75,6,6.09414e-91
6.75,6.25,1.73972e-90
6.75,6.5,4.21394e-90
6.75,6.75,4.64387e-90
6.75,7,2.89221e-90
6.75,7.5,8.65934e-91
7,2.5,2.19243e-90
7,2.75,2.63142e-90
7,3,2.69886e-90
7,3.25,2.75756e-90
7,3.5,2.67017e-90
7,3.75,2.16974e-90
7,4,2.01711e-90
7,4.25,2.18856e-90
7,4.5,2.34482e-90
7,4.75,2.36575e-90
7,5,2.19688e-90
7,5.25,2.14516e-90
7,5.5,2.45039e-90
7,5.75,2.40163e-90
7,6,1.46106e-90
7,6.25,7.62977e-91
7,6.5,1.51311e-90
7,6.75,2.89221e-90
7,7,3.34701e-90
7,7.5,1.98472e-90
7.5,2.5,1.19274e-90
7.5,2.75,1.42872e-90
7.5,3,1.46003e-90
7.5,3.25,1.48669e-90
7.5,3.5,1.42279e-90
7.5,3.75,1.13907e-90
7.5,4,1.05329e-90
7.5,4.25,1.16506e-90
7.5,4.5,1.23511e-90
7.5,4.75,1.28007e-90
7.5,5,1.25893e-90
7.5,5.25,1.12484e-90
7.5,5.5,1.16519e-90
7.5,5.75,1.4119e-90
7.5,6,1.25832e-90
7.5,6.25,5.19391e-91
7.5,6.5,1.33186e-91
7.5,6.75,8.65934e-91
7.5,7,1.98472e-90
7.5,7.5,1.67616e-90

