E,Ne,dNe
1.5,1.13,0.5
1.75,0.92,
2,0.75,0.5
2.25,0.6,
2.5,0.485,0.5
2.75,0.39,
3,0.305,0.5
3.25,0.237,
3.5,0.182,0.5
3.75,0.136,
4,0.103,0.6
4.25,0.075,
4.5,0.0525,0.8
4.75,0.0411,
5,0.0314,1
5.25,0.023,
5.5,0.0172,1.5
5.75,0.0118,
6,0.0083,2.3
6.25,0.00599,
6.5,0.00426,2.7
6.75,0.0026,
7,0.00173,5.5
7.25,0.00094,8
7.5,0.00052,10
7.75,0.000308,15
8,0.000171,20
