E,Ne,dNe
1500.0 , 0.7541510624468574,0.35428856780440593
1550.0 , 0.7257362909272898,0.3490231052387565
1600.0 , 0.6977588504777914,0.34339374403301304
1650.0000000000002 , 0.670170659208873,0.3379373506283253
1700.0000000000002 , 0.6431486824834564,0.33198633467955274
1750.0000000000002 , 0.6167491867472911,0.32676095677483585
1800.0000000000002 , 0.5911019399663434,0.3204026279642429
1850.0000000000002 , 0.5660886050084412,0.31446659549114325
1900.0000000000005 , 0.541859631131662,0.30858917901939575
1950.0000000000005 , 0.5184476445920074,0.30239737245223614
2000.0000000000005 , 0.4959037375561239,0.2960068449819732
2050.000000000001 , 0.4744180772880967,0.29040573033516226
2100.0000000000005 , 0.4540901727248918,0.28436612075577034
2150.0000000000005 , 0.4348317498826408,0.2775826548824682
2200.0000000000005 , 0.4165490063329545,0.2718737620494485
2250.000000000001 , 0.39925863725553923,0.26572814073492995
2300.000000000001 , 0.3827273722183539,0.25985811910367934
2350.0000000000005 , 0.36671133979234655,0.25349247376027956
2400.000000000001 , 0.35124035771476636,0.24710343939976734
2450.000000000001 , 0.336331817236849,0.24156020905896372
2500.000000000001 , 0.3219559828617959,0.2356419923303982
2550.000000000001 , 0.3081235402833611,0.229797214465816
2600.000000000001 , 0.29487274057587504,0.22440388104780154
2650.0000000000014 , 0.28217229658908466,0.2188684720679705
2700.000000000001 , 0.26992571633421497,0.21402820819013116
2750.000000000001 , 0.25815370471282795,0.2094025865448994
2800.0000000000014 , 0.2469038859438263,0.20475283404791841
2850.0000000000014 , 0.23625834524828085,0.20062108931549502
2900.0000000000014 , 0.22616791460773022,0.19673020853315953
2950.000000000001 , 0.21650160725971815,0.1931447268774677
3000.0000000000014 , 0.20719003051050033,0.1893846385737842
3050.000000000002 , 0.19811767548613501,0.18558744094881227
3100.0000000000014 , 0.18928019327779216,0.18208271589007355
3150.0000000000014 , 0.1807088465050346,0.1785452374259133
3200.0000000000014 , 0.172427534634657,0.17480852374320346
3250.000000000002 , 0.1644658996142521,0.17100112193044714
3300.000000000002 , 0.15681892712243617,0.1675226652944656
3350.0000000000014 , 0.14948809305512525,0.16411448513756768
3400.000000000002 , 0.14247029212110332,0.16083983399270835
3450.000000000002 , 0.13570799947379866,0.15771938506225422
3500.000000000002 , 0.1291756809776222,0.15417529731312812
3550.000000000002 , 0.12287826557023031,0.15082634087846228
3600.000000000002 , 0.1168398097047314,0.14751994719878575
3650.0000000000023 , 0.11105999533465145,0.1443250754150452
3700.000000000002 , 0.10547638672064678,0.14086089595981086
3750.000000000002 , 0.1000685041724566,0.13792171641907128
3800.000000000002 , 0.09483727467264814,0.13422644453237392
3850.0000000000023 , 0.08979645995651507,0.13106530626655308
3900.0000000000023 , 0.08495225550986367,0.1277114344444745
3950.000000000002 , 0.08030271781886013,0.1241709769820551
4000.000000000002 , 0.0758581435399965,0.12057673823528404
4050.0000000000023 , 0.07160046664948987,0.1174774051247225
4100.000000000003 , 0.06752865973739522,0.11421674537084767
4150.000000000002 , 0.06365600512892117,0.11101499000209962
4200.000000000003 , 0.059985200949505844,0.10782041638106907
4250.000000000003 , 0.056505904854490634,0.10470340593526181
4300.000000000003 , 0.05321084482280927,0.10154761128700648
4350.000000000003 , 0.050109575078419004,0.09868560810936104
4400.000000000002 , 0.04721520541357812,0.09587103798210078
4450.000000000003 , 0.04452088900181708,0.0928340589910154
4500.000000000003 , 0.04198831279115904,0.09006209745184623
4550.000000000003 , 0.03959633552889469,0.08741001435894666
4600.000000000004 , 0.037334144611379565,0.0849355855911228
4650.000000000003 , 0.03517458090196501,0.08263910165920053
4700.000000000003 , 0.03310421267814784,0.08018223840505492
4750.000000000003 , 0.031122152742098785,0.07782356119497509
4800.000000000003 , 0.029228584527015652,0.07553454393797461
4850.000000000004 , 0.027426533660307683,0.0731913279966743
4900.000000000003 , 0.02572074147263781,0.0709547480110294
4950.000000000003 , 0.024102029873361547,0.06873823231986671
5000.000000000004 , 0.022563167043202086,0.06661215592503947
5050.000000000004 , 0.02110507667019114,0.064820303124406
5100.000000000004 , 0.01972860026895868,0.06280009849739666
5150.000000000003 , 0.018427984719635006,0.061053513821005476
5200.000000000003 , 0.017200617749640927,0.05899116760702756
5250.000000000004 , 0.016045378006455665,0.05729945218220513
5300.000000000004 , 0.014962464988681812,0.05542398223359387
5350.000000000004 , 0.013939469127173055,0.053650961363932485
5400.000000000004 , 0.012972390532837061,0.05190957394783988
5450.000000000004 , 0.012055635469308556,0.04997647880281481
5500.000000000004 , 0.011183283516938676,0.048441705155231864
5550.000000000004 , 0.010353553187231026,0.0469934137150556
5600.000000000004 , 0.009566413488697972,0.04516852578560417
5650.000000000004 , 0.008821479305656046,0.043596828887844594
5700.000000000004 , 0.008119877398734715,0.04199268030916831
5750.000000000004 , 0.007463002557166998,0.040563288146941906
5800.000000000005 , 0.006847574751829012,0.039059276847108165
5850.000000000004 , 0.00627414465612721,0.03726646411560653
5900.000000000004 , 0.005740332141344376,0.03589737058737932
5950.000000000004 , 0.00524075418679468,0.034198610455343566
6000.000000000004 , 0.004775236395860306,0.032934541491870306
6050.000000000005 , 0.004344390082339446,0.03131020079873514
6100.000000000004 , 0.003946502337065288,0.029752454766138935
6150.000000000004 , 0.0035756479857017667,0.028647024790638707
6200.000000000005 , 0.0032287157413163764,0.026933795870927497
6250.000000000005 , 0.0029044635316779117,0.0254045019501162
6300.000000000005 , 0.0026000920127107977,0.02427497344000614
6350.000000000004 , 0.0023145181211393757,0.022888559368918062
6400.000000000004 , 0.0020479851253345834,0.02146865253286537
